|,|__city,|__theater,|__zip,|__critic_rating,|__genre,|__state,|__starttime,|__date,|__moviename,|__other,|__mpaa_rating,|__numberofkids,|__theater_chain,|__video_format,|__distanceconstraints,|__actor,|__price,|__actress
254L,sacramento,the Holiday 6,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
255L,sacramento, the Stadium 5,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
256L,sacramento,the Natomas Marketplace Stadium,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
257L,sacramento,Natomas Marketplace Stadium,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
258L,johnstown,richland cinemas,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
259L,pittsburgh,richland cinemas,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
260L,johnstown,this theater,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
261L,pittsburgh,this theater,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
262L,johnstown,amc loews waterfront 22,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
263L,atlanta,amc phipps plaza 14,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,near,,,
264L,south barrington,amc phipps plaza 14,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,near,,,
265L,atlanta,AMC SOUTH BARRINGTON 30,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,near,,,
266L,south barrington,AMC SOUTH BARRINGTON 30,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,near,,,
267L,atlanta,amc phipps plaza 14,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,south barrington,,,
268L,los angeles,regal la live stadium 14,90015,,,ca,11:45am,tomorrow,10 cloverfield lane,,,,,,nearest,,,
269L,los angeles,pacific theatres at the grove,90015,,,ca,11:45am,tomorrow,10 cloverfield lane,,,,,,nearest,,,
270L,los angeles,regal la stadium 14,90015,,,ca,11:45am,tomorrow,10 cloverfield lane,,,,,,nearest,,,
271L,los angeles,regal la,90015,,,ca,11:45am,tomorrow,10 cloverfield lane,,,,,,nearest,,,
272L,los angeles,regal la live stadium 14,90036,,,ca,11:45am,tomorrow,10 cloverfield lane,,,,,,nearest,,,
273L,seattle,regal meridian 16,,good,,wa,around 8 pm,tomorrow,zootopia,restaurant,,,,3d,near me,,,
274L,seattle,bellevue lincoln square cinemas,,good,,wa,around 8 pm,tomorrow,zootopia,restaurant,,,,3d,near me,,,
275L,seattle,varsity theater,,good,,wa,around 8 pm,tomorrow,zootopia,restaurant,,,,3d,near me,,,
276L,seattle,regal meridian 16,,good,,wa,around 8 pm,tomorrow,zootopia,restaurant,,,,regular,near me,,,
277L,seattle,bellevue lincoln square cinemas,,good,,wa,around 8 pm,tomorrow,zootopia,restaurant,,,,regular,near me,,,
278L,seattle,theaters all over,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
279L,over seattle,theaters all over,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
280L,bellevue,theaters all over,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
281L,seattle,regal meridian 16,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
282L,over seattle,regal meridian 16,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
283L,dallas,alamo draft house,,,,,5pm,tonight,deadpool,,,,,,,,,
284L,dallas,alamo drafthouse,,,,,5pm,tonight,deadpool,,,,,,,,,
285L,dallas,alamo draft house,,,,,7:55pm,tonight,deadpool,,,,,,,,,
286L,dallas,alamo drafthouse,,,,,7:55pm,tonight,deadpool,,,,,,,,,
287L,dallas,alamo draft house,,,,,10:15pm,tonight,deadpool,,,,,,,,,
288L,st louis park,,,,,mn,,tonight,deadpool,unable to book movies,,,,,,,,
289L,st louis park,,,,,mn,,tonight,deadpool,I cannot understand your reply,,,,,,,,
290L,seattle,regal meridian 16,,,,,9:25 PM,tomorrow,zoolander 2,,,,,,,,,
291L,,regency commerce 14,,,,,11:50am,tomorrow,risen,,,,,,,,,
292L,,regency commerce 14,,,,,2:30pm,tomorrow,risen,,,,,,,,,
293L,,regency commerce 14,,,,,7:50,tomorrow,risen,,,,,,,,,
294L,,regency commerce 14,,,,,10:25,tomorrow,risen,,,,,,,,,
295L,,regency commerce 14,,,,,2:30,tomorrow,risen,,,,,,,,,
296L,,,,,,,,,,purchase tickets,,,,,,,,
297L,,,,,,,,,,look up date,,,,,,,,
298L,,,,,,,,,,increased functionality,,,,,,,,
299L,portland,Living Room Theaters Regal Lloyd Center 10,,,,oregon,12:05pm,this friday,star wars,,,,,,,,,
300L,portland,century Eastport 16,,,,oregon,12:05pm,this friday,star wars,,,,,,,,,
301L,portland,regal lloyd center 10,,,,oregon,12:05pm,this friday,star wars,,,,,,,,,
302L,portland,Living Room Theaters Regal Lloyd Center 10,,,,oregon,6:25pm,this friday,star wars,,,,,,,,,
303L,portland,century Eastport 16,,,,oregon,6:25pm,this friday,star wars,,,,,,,,,
304L,portland,regal pioneer place,,,,oregon,after 5 pm,friday,zootopia,functionality,,,,3d,,,,
305L,portland,regal lloyd center 10,,,,oregon,after 5 pm,friday,zootopia,functionality,,,,3d,,,,
306L,portland,regal pioneer place,,,,oregon,after 5 pm,friday,zootopia,functionality,,,, standard,,,,
307L,portland,regal lloyd center 10,,,,oregon,after 5 pm,friday,zootopia,functionality,,,, standard,,,,
308L,portland,regal pioneer place,,,,oregon,after 5 pm,friday,zootopia,functionality,,,,standard,,,,
309L,seattle,regal meridian 16,98101,top 4,,wa,night around 8pm,tomorrow,zootopia,,,,,,,,,
310L,bellevue,regal meridian 16,98101,top 4,,wa,night around 8pm,tomorrow,zootopia,,,,,,,,,
311L,seattle,bellevue lincoln square cinemas,98101,top 4,,wa,night around 8pm,tomorrow,zootopia,,,,,,,,,
312L,bellevue,bellevue lincoln square cinemas,98101,top 4,,wa,night around 8pm,tomorrow,zootopia,,,,,,,,,
313L,seattle,regal meridian 16,98004,top 4,,wa,night around 8pm,tomorrow,zootopia,,,,,,,,,
314L,seattle,regal meridian 16,,,,,8:40pm,tonight,zootopia,name,,,,,,,,
315L,seattle,regal meridian 16,,,,,8:40pm,tonight,zootopia,Master User,,,,,,,,
316L,seattle,regal meridian 16,,,,,8:40,tonight,zootopia,name,,,,,,,,
317L,seattle,regal meridian 16,,,,,8:40,tonight,zootopia,Master User,,,,,,,,
318L,seattle,regal meridian 16,,,,,8:40pm,tonight,Zootopia,name,,,,,,,,
319L,portland,regal lloyd center 10 & IMAX,97232,,,oregon,12:05pm,friday,star wars,,,,,,,,$20 ,
320L,Portland,regal lloyd center 10 & IMAX,97232,,,oregon,12:05pm,friday,star wars,,,,,,,,$20 ,
321L,portland,CENTURY 16 EASTPORT PLAZA,97232,,,oregon,12:05pm,friday,star wars,,,,,,,,$20 ,
322L,Portland,CENTURY 16 EASTPORT PLAZA,97232,,,oregon,12:05pm,friday,star wars,,,,,,,,$20 ,
323L,portland,century 16 EASTPORT PLAZA,97232,,,oregon,12:05pm,friday,star wars,,,,,,,,$20 ,
324L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,,,,,
325L,seattle,regal meridian 16,,,,,8:40pm tonight,tonight,zootopia,name,,,,,,,,
326L,seattle,regal meridian 16,,,,,8:40pm tonight,tonight,zootopia,master user,,,,,,,,
327L,seattle,regal meridian 16,,,,,8:40,tonight,zootopia,name,,,,,,,,
328L,seattle,regal meridian 16,,,,,8:40,tonight,zootopia,master user,,,,,,,,
329L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,hail caesar,,,,,,,,,
330L,Monroe,regal barkley village stadium 16,98272,,,wa,around 8pm,tonight,kung fu panda 3,,,,,,near me,,,
331L,Monroe,amc loews cascade mall,98272,,,wa,around 8pm,tonight,kung fu panda 3,,,,,,near me,,,
332L,Monroe,regal marysville 14,98272,,,wa,around 8pm,tonight,kung fu panda 3,,,,,,near me,,,
333L,Monroe,regal barkley village stadium 16,98272,,,wa,9:10,tonight,kung fu panda 3,,,,,,near me,,,
334L,Monroe,amc loews cascade mall,98272,,,wa,9:10,tonight,kung fu panda 3,,,,,,near me,,,
335L,cary,park west 14,,,,north carolina,around 6pm,saturday,zootopia,,appropriate for the whole family,,,3d,,,,
336L,cary,fangandgo,,,,north carolina,around 6pm,saturday,zootopia,,appropriate for the whole family,,,3d,,,,
337L,cary,Frank Theatres Parkside Town Commons Stadium 11,,,,north carolina,around 6pm,saturday,zootopia,,appropriate for the whole family,,,3d,,,,
338L,cary,Frank Theatres,,,,north carolina,around 6pm,saturday,zootopia,,appropriate for the whole family,,,3d,,,,
339L,cary,park west 14,,,,north carolina,around 6pm,saturday,zootopia,,pg,,,3d,,,,
340L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,hail caesar,name,,,,,,,,
341L,birmingham,carmike summit 16,35243,,action,al,around 2pm,today,deadpool,,,,,,,,,
342L,birmingham,carmike summit,35243,,action,al,around 2pm,today,deadpool,,,,,,,,,
343L,birmingham,carmike summit 16,35243,,action,al,2:20PM,today,deadpool,,,,,,,,,
344L,birmingham,carmike summit,35243,,action,al,2:20PM,today,deadpool,,,,,,,,,
345L,birmingham,carmike summit 16,35243,,action,al,2:20,today,deadpool,,,,,,,,,
346L,whittier,whittier village stadium cinemas,90602,,,ca,between noon and 4pm,next sunday,london has fallen,,,,,,,,,
347L,whittier,whittier village stadium cinemas,90602,,,ca,1:30pm,next sunday,london has fallen,,,,,,,,,
348L,whittier,whittier village stadium cinemas,90602,,,ca,between noon and 4pm,13-Mar,london has fallen,,,,,,,,,
349L,whittier,whittier village stadium cinemas,90602,,,ca,1:30pm,13-Mar,london has fallen,,,,,,,,,
350L,,cinemar downey,90601,,,,early,tomorrow,the witch,two,,,,,,,,
351L,,amc theaters puente hills,90601,,,,early,tomorrow,the witch,two,,,,,,,,
352L,,cinemar downey,90601,,,,10:35,tomorrow,the witch,two,,,,,,,,
353L,,amc theaters puente hills,90601,,,,10:35,tomorrow,the witch,two,,,,,,,,
354L,,cinemar downey,90601,,,,11:40 AM,tomorrow,the witch,two,,,,,,,,
355L,sparta,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,another preference,,,,,,,,
356L,Shiloh,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,another preference,,,,,,,,
357L,Belleville,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,another preference,,,,,,,,
358L,o'fallon,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,another preference,,,,,,,,
359L,fairview heights,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,another preference,,,,,,,,
360L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,,,,,
361L,seattle,,,,,,,tomorrow night,zootopia,,,,,,,,,
362L,seattle,amc pacific place 11,98101,,,wa,6:10pm,tonight,deadpool,,,,amc,,,,,
363L,bellevue,amc pacific place 11,98101,,,wa,6:10pm,tonight,deadpool,,,,amc,,,,,
364L,seattle,bellevue lincoln square cinemas,98101,,,wa,6:10pm,tonight,deadpool,,,,amc,,,,,
365L,bellevue,bellevue lincoln square cinemas,98101,,,wa,6:10pm,tonight,deadpool,,,,amc,,,,,
366L,seattle,pacific place 11,98101,,,wa,6:10pm,tonight,deadpool,,,,amc,,,,,
367L,,,,,,,,,first,purchase tickets,,,,,,,,
368L,birmingham,carmike summit 16,,,family friendly,al,2:00 PM,saturday,zootopia,,pg,,,3d,,,,
369L,birmingham,carmike summit 16,,,family friendly,al,2:00 PM,saturday,zootopia,,pg,,,standard,,,,
370L,birmingham,carmike summit 16,,,family friendly,alabama,2:00 PM,saturday,zootopia,,pg,,,3d,,,,
371L,birmingham,carmike summit 16,,,family friendly,alabama,2:00 PM,saturday,zootopia,,pg,,,standard,,,,
372L,birmingham,carmike summit 16,,,family friendly,al,1:45pm,saturday,zootopia,,pg,,,3d,,,,
373L,seattle,bellevue lincoln square cinemas,,,,,around 2pm,saturday,zootopia,,,,,,east side,,,
374L,seattle,bellevue lincoln square,,,,,around 2pm,saturday,zootopia,,,,,,east side,,,
375L,seattle,bellevue lincoln square cinemas,,,,,2:35 PM,saturday,zootopia,,,,,,east side,,,
376L,seattle,bellevue lincoln square,,,,,2:35 PM,saturday,zootopia,,,,,,east side,,,
377L,seattle,bellevue lincoln square cinemas,,,,,2:35,saturday,zootopia,,,,,,east side,,,
378L,seattle,regal meridian 16,98004,,,wa,4:10,tonight,zootopia,,,,,2d,,,,
379L,bellevue,regal meridian 16,98004,,,wa,4:10,tonight,zootopia,,,,,2d,,,,
380L,seattle,bellevue lincoln square cinemas,98004,,,wa,4:10,tonight,zootopia,,,,,2d,,,,
381L,bellevue,bellevue lincoln square cinemas,98004,,,wa,4:10,tonight,zootopia,,,,,2d,,,,
382L,seattle,regal meridian 16,98004,,,wa,4:10,tonight,zootopia,,,,,3d,,,,
383L,albany,any,,,,ny,soonest,,whiskey tango foxtrot,,,,,,,,,
384L,albany,regal clifton park stadium,,,,ny,soonest,,whiskey tango foxtrot,,,,,,,,,
385L,albany,any,,,,ny,12:40pm,,whiskey tango foxtrot,,,,,,,,,
386L,albany,regal clifton park stadium,,,,ny,12:40pm,,whiskey tango foxtrot,,,,,,,,,
387L,portland,century eastport 16,,,,oregon,12:20pm,friday,star wars,Fandango,,,,,,,,
388L,portland,century eastport 16,,,,oregon,3:40,friday,star wars,Fandango,,,,,,,,
389L,portland,century eastport 16,,,,oregon,6:50,friday,star wars,Fandango,,,,,,,,
390L,portland,century eastport 16,,,,oregon,10:00,friday,star wars,Fandango,,,,,,,,
391L,portland,century eastport 16,,,,oregon,10 o clock,friday,star wars,Fandango,,,,,,,,
392L,,,,great reviews all around with a 84 percent on rotten tomatoes and 93 of audience members recommending it,action,,,,deadpool,,,,,,,ryan reynolds,,
393L,,,,great reviews all around with a 84 percent on rotten tomatoes and 93 of audience members recommending it,action,,,,london has fallen,,,,,,,ryan reynolds,,
394L,,,,great reviews all around with a 84 percent on rotten tomatoes and 93 of audience members recommending it,action,,,,the revenant,,,,,,,ryan reynolds,,
395L,houma,amc houma palace 10,,,comedy,louisiana,night,this week,,,,,,,,,,
396L,la,amc houma palace 10,,,comedy,louisiana,night,this week,,,,,,,,,,
397L,houma,amc houma palace 10,,,adult comedy,louisiana,night,this week,,,,,,,,,,
398L,la,amc houma palace 10,,,adult comedy,louisiana,night,this week,,,,,,,,,,
399L,houma,amc houma palace 10,,,comedy,louisiana,2:15pm,this week,,,,,,,,,,
400L,la,regal la stadium 14,,,action,ca,night,tomorrow,london has fallen,,,,,,,,,
401L,los angeles,regal la stadium 14,,,action,ca,night,tomorrow,london has fallen,,,,,,,,,
402L,la,olympic blvd,,,action,ca,night,tomorrow,london has fallen,,,,,,,,,
403L,los angeles,olympic blvd,,,action,ca,night,tomorrow,london has fallen,,,,,,,,,
404L,la,regal la stadium 14,,,action,ca,10 cloverfield lane,tomorrow,london has fallen,,,,,,,,,
405L,evanston,,,,,illinois,,,,,,,century,,local theater,,$10 ,
406L,Seattle,Regal Meridan 16 Bellevue Lincoln Square Cinemas,,,,WA,roughly every hour,tomorrow night,zootopia,,,,,regular,,,,
407L,Seattle,Pacific Science Center IMAX Theaters,,,,WA,roughly every hour,tomorrow night,zootopia,,,,,regular,,,,
408L,Seattle,regal meridan 16,,,,WA,roughly every hour,tomorrow night,zootopia,,,,,regular,,,,
409L,Seattle,Regal Meridan 16 Bellevue Lincoln Square Cinemas,,,,WA,roughly every hour,tomorrow night,zootopia,,,,,3d,,,,
410L,Seattle,Pacific Science Center IMAX Theaters,,,,WA,roughly every hour,tomorrow night,zootopia,,,,,3d,,,,
411L,,,,,,,,today,,,,,,,,,,
412L,royal oak,any,32289,,,mi,7:00,tonight,10 cloverfield lane,new release,,,amc star john r 15,,closest theater to you,,,
413L,madison heights,any,32289,,,mi,7:00,tonight,10 cloverfield lane,new release,,,amc star john r 15,,closest theater to you,,,
414L,Southfield,any,32289,,,mi,7:00,tonight,10 cloverfield lane,new release,,,amc star john r 15,,closest theater to you,,,
415L,royal oak,box office window,32289,,,mi,7:00,tonight,10 cloverfield lane,new release,,,amc star john r 15,,closest theater to you,,,
416L,madison heights,box office window,32289,,,mi,7:00,tonight,10 cloverfield lane,new release,,,amc star john r 15,,closest theater to you,,,
417L,carbondale,amc showplace carbondale,,,action,illinois,afternoon,this week,london has fallen,,,,,,,,,
418L,carbondale,Main Street Carbondale,,,action,illinois,afternoon,this week,london has fallen,,,,,,,,,
419L,carbondale,AMC UNIVERSITY PLACE 8,,,action,illinois,afternoon,this week,london has fallen,,,,,,,,,
420L,carbondale,amc showplace carbondale,,,action,illinois,afternoon,tomorrow,london has fallen,,,,,,,,,
421L,carbondale,Main Street Carbondale,,,action,illinois,afternoon,tomorrow,london has fallen,,,,,,,,,
422L,monroe,regal barkley village stadium 16,98272,,,wa,around 8pm,tonight,kung fu panda 3,,,,,,near,,,
423L,monroe,amc loews cascade mall,98272,,,wa,around 8pm,tonight,kung fu panda 3,,,,,,near,,,
424L,monroe,regal marysville 14,98272,,,wa,around 8pm,tonight,kung fu panda 3,,,,,,near,,,
425L,monroe,regal barkley village stadium 16,98272,,,wa,9:10,tonight,kung fu panda 3,,,,,,near,,,
426L,monroe,amc loews cascade mall,98272,,,wa,9:10,tonight,kung fu panda 3,,,,,,near,,,
427L,,,,,,,,,london has fallen,,,,,,,,,
428L,seattle,amc pacific place 11 600 pine s,98101,,,wa,after dinner,friday,10 cloverfield lane,place that serves seafood,,,,, seattle area,,,
429L,bellevue,amc pacific place 11 600 pine s,98101,,,wa,after dinner,friday,10 cloverfield lane,place that serves seafood,,,,, seattle area,,,
430L,seattle,bellevue lincoln square cinemas,98101,,,wa,after dinner,friday,10 cloverfield lane,place that serves seafood,,,,, seattle area,,,
431L,bellevue,bellevue lincoln square cinemas,98101,,,wa,after dinner,friday,10 cloverfield lane,place that serves seafood,,,,, seattle area,,,
432L,seattle,amc pacific place 11 600 pine s,98004,,,wa,after dinner,friday,10 cloverfield lane,place that serves seafood,,,,, seattle area,,,
433L,birmingham,carmike summit 16,,6,action,al,matinee,friday,deadpool,imdb,,,,,,,,
434L,birmingham,carmike summit 16,,5,action,al,matinee,friday,deadpool,imdb,,,,,,,,
435L,birmingham,carmike summit 16,,6,action,al,matinee,saturday,deadpool,imdb,,,,,,,,
436L,birmingham,carmike summit 16,,5,action,al,matinee,saturday,deadpool,imdb,,,,,,,,
437L,birmingham,carmike summit 16,,6,action,al,evening,friday,deadpool,imdb,,,,,,,,
438L,seattle,regal meridian sundance cinemas,,,drama,,,,eddie the eagle,,,,,,,,,
439L,seattle,regal meridian sundance cinemas,,,drama,,,,big short,,,,,,,,,
440L,seattle,regal meridian sundance cinemas,,,drama,,,,the big short,,,,,,,,,
441L,seattle,regal thornton place,,,drama,,,,eddie the eagle,,,,,,,,,
442L,seattle,regal thornton place,,,drama,,,,big short,,,,,,,,,
443L,Long Island,loews stony brook 17,,,,NY,tonight,,Deadpool,,,,,,,,,
444L,Long Island,amc loews stony brook,,,,NY,tonight,,Deadpool,,,,,,,,,
445L,Long Island,loews stony brook 17,,,,NY,7:30 PM,,Deadpool,,,,,,,,,
446L,Long Island,amc loews stony brook,,,,NY,7:30 PM,,Deadpool,,,,,,,,,
447L,Long Island,loews stony brook 17,,,,NY,8:15 PM,,Deadpool,,,,,,,,,
448L,portland,regal fox tower stadium 10,,,,oregon,after 6 pm,saturday,whiskey tango foxtrot,,,,,,,,,
449L,portland,regal fox tower stadium 10,,,,oregon,6:45,saturday,whiskey tango foxtrot,,,,,,,,,
450L,,,,,,,,,deadpool,favorite part,,,,,,,,
451L,,,,,,,,,deadpool,worth watching,,,,,,,,
452L,des moines,any,,,,iowa, around 7pm,tomorrow,zootopia,,pg,,,,,,,
453L,des moines,flix brewhouse des moines,,,,iowa, around 7pm,tomorrow,zootopia,,pg,,,,,,,
454L,des moines,carmike cobblestone 9,,,,iowa, around 7pm,tomorrow,zootopia,,pg,,,,,,,
455L,des moines,any,,,,iowa, around 7pm,tomorrow,kung fu panda 3,,pg,,,,,,,
456L,des moines,flix brewhouse des moines,,,,iowa, around 7pm,tomorrow,kung fu panda 3,,pg,,,,,,,
457L,northern san francisco,amc van ness 14,,,,ca,afternoon,tomorrow,zootopia,,,,,standard,northern part of the city,,,
458L,94109,amc van ness 14,,,,ca,afternoon,tomorrow,zootopia,,,,,standard,northern part of the city,,,
459L,northern san francisco,AMC Van Ness,,,,ca,afternoon,tomorrow,zootopia,,,,,standard,northern part of the city,,,
460L,94109,AMC Van Ness,,,,ca,afternoon,tomorrow,zootopia,,,,,standard,northern part of the city,,,
461L,northern san francisco,amc van ness,,,,ca,afternoon,tomorrow,zootopia,,,,,standard,northern part of the city,,,
462L,seattle,amc lowes oak tree 6,,,,,4:25 PM,tomorrow,risen,,,,,,,,,
463L,seattle,SIFF Cinema Uptown,,,,,7,march 11th,whiskey tango foxtrot,,,,,,,,,
464L,seattle,SIFF Cinema Uptown,,,,,7,tomorrow,whiskey tango foxtrot,,,,,,,,,
465L,seattle,Ark Lodge Cinemas,,,,,7,march 11th,whiskey tango foxtrot,,,,,,,,,
466L,seattle,Ark Lodge Cinemas,,,,,7,tomorrow,whiskey tango foxtrot,,,,,,,,,
467L,seattle,Regal Crossroads,,,,,7,march 11th,whiskey tango foxtrot,,,,,,,,,
468L,seattle,pacific place 11 theater,,,,,9:30 PM,tomorrow,room,name,,,amc,,,,,
469L,st,wehrenberg ronnies 20#imax 5320,63126,nice,romantic,mo,7:20,,how to be single,subtitiles,,,,,near here,,,
470L,louis,wehrenberg ronnies 20#imax 5320,63126,nice,romantic,mo,7:20,,how to be single,subtitiles,,,,,near here,,,
471L,sappington,wehrenberg ronnies 20#imax 5320,63126,nice,romantic,mo,7:20,,how to be single,subtitiles,,,,,near here,,,
472L,st,blvd,63126,nice,romantic,mo,7:20,,how to be single,subtitiles,,,,,near here,,,
473L,louis,blvd,63126,nice,romantic,mo,7:20,,how to be single,subtitiles,,,,,near here,,,
474L,seattle,amc pacific place 11,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
475L,bellevue,amc pacific place 11,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
476L,seattle,bellevue lincoln square cinemas,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
477L,bellevue,bellevue lincoln square cinemas,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
478L,seattle,big picture seattle,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
479L,norfolk,regal macarthur center stadium 18,,,,virginia,7pm,march 12th,london has fallen,,,,,,,,,
480L,norfolk,RPX CINEMARK 18,,,,virginia,7pm,march 12th,london has fallen,,,,,,,,,
481L,norfolk,regal,,,,virginia,7pm,march 12th,london has fallen,,,,,,,,,
482L,norfolk,regal macarthur center stadium 18,,,,virginia,7:10,march 12th,london has fallen,,,,,,,,,
483L,norfolk,RPX CINEMARK 18,,,,virginia,7:10,march 12th,london has fallen,,,,,,,,,
484L,seattle,regal meridian 16,,,,,,tonight,London Has Fallen#Whiskey Tango Foxtrot#Zootopia#Eddie The Eagle#Gods of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl#more,many many theaters,,,,,,,,
485L,seattle,regal meridian 16,,,,,,tonight,London Has Fallen#Whiskey Tango Foxtrot#Zootopia#Eddie The Eagle#Gods of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl#more,different selection of movies,,,,,,,,
486L,seattle,regal meridian 16,,,,,,tonight,London Has Fallen#Whiskey Tango Foxtrot#Zootopia#Eddie The Eagle#Gods of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl#more,search for a theater,,,,,,,,
487L,seattle,regal meridian 16,,,,,,tonight,London Has Fallen#Whiskey Tango Foxtrot#Zootopia#Eddie The Eagle#Gods of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl#more,latest showing,,,,,,,,
488L,seattle,regal meridian 16,,,,,,tonight,zoolander 2,many many theaters,,,,,,,,
489L,st louis,chase park plaza cinemas,,good,kids,,afternoon,thursday,zootopia,,pg,2,,,,,,
490L,st louis,chase park plaza,,good,kids,,afternoon,thursday,zootopia,,pg,2,,,,,,
491L,st louis,chase park plaza cinemas,,4 5/5 star rating,kids,,afternoon,thursday,zootopia,,pg,2,,,,,,
492L,st louis,chase park plaza,,4 5/5 star rating,kids,,afternoon,thursday,zootopia,,pg,2,,,,,,
493L,st louis,chase park plaza cinemas,,good,kids,,11:00am,thursday,zootopia,,pg,2,,,,,,
494L,seattle,,,,,,,,,Italian restaurant,,,,,,,,
495L,seattle,amc lowes oak tree 6,,,,,7:25 PM,tomorrow,spotlight,restaurant,,,,,,,,
496L,seattle,amc lowes oak tree 6,,,,,7:25 PM,tomorrow,spotlight,restaurant booking service,,,,,,,,
