|,|__city,|__theater,|__zip,|__critic_rating,|__genre,|__state,|__starttime,|__date,|__moviename,|__other,|__mpaa_rating,|__numberofkids,|__theater_chain,|__video_format,|__distanceconstraints,|__actor,|__price,|__actress
749L,seattle,regal meridian 16,,number 1,comedy,washington,,tonight,Whiskey Tango Foxtrot,safeco field,,,,,near my location,,,
750L,seattle,amc pacific place 11 theater,,,,,9:00 PM,tomorrow,deadpool,,,,,,,,,
751L,seattle,bellevue lincoln square cinemas,98004,4 5/5 stars,animated,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
752L,st louis,bellevue lincoln square cinemas,98004,4 5/5 stars,animated,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
753L,bellevue,bellevue lincoln square cinemas,98004,4 5/5 stars,animated,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
754L,seattle,bellevue lincoln square cinemas,98004,4 5/5 stars,kid,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
755L,st louis,bellevue lincoln square cinemas,98004,4 5/5 stars,kid,wa,night,tomorrow,zootopia,pizza place,,2,,,,,,
756L,knoxville,carmike 10,,,,tn,evening around 7,tomorrow,the witch,increased functionality,,,,3d,downtown,,,
757L,knoxville,please,,,,tn,evening around 7,tomorrow,the witch,increased functionality,,,,3d,downtown,,,
758L,knoxville,carmike 10,,,,tn,7:30pm,tomorrow,the witch,increased functionality,,,,3d,downtown,,,
759L,knoxville,please,,,,tn,7:30pm,tomorrow,the witch,increased functionality,,,,3d,downtown,,,
760L,seattle,amc pacific place 11 theater,,,,,10:00 PM,tomorrow,race,,,,,,,,,
761L,,mesa grand 24,85249,good,romantic comedy,,night,friday,zootopia,,,,amc theater,,,,,tina fey
762L,,mesa grand 24,85249,good,romantic comedy,,night,friday,zootopia,,,,amc ahwatukee 24,,,,,tina fey
763L,,mesa grand 24,85249,good,romantic comedy,,night,friday,zootopia,,,, amc mesa grand 24,,,,,tina fey
764L,,mesa grand,85249,good,romantic comedy,,night,friday,zootopia,,,,amc theater,,,,,tina fey
765L,,mesa grand,85249,good,romantic comedy,,night,friday,zootopia,,,,amc ahwatukee 24,,,,,tina fey
766L,seattle,regal meridian 16,98101,,drama,wa,the next,tonight,the big short,pizza restaurant,,,,,near safeco field,,,
767L,seattle,regal meridian 16,98101,,drama,wa,the next,tonight,the big short,pizza restaurant,,,,,in your area,,,
768L,seattle,regal meridian 16,98101,,drama,wa,8:45,tonight,the big short,pizza restaurant,,,,,near safeco field,,,
769L,seattle,regal meridian 16,98101,,drama,wa,8:45,tonight,the big short,pizza restaurant,,,,,in your area,,,
770L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,,,,,
771L,safeco field,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,near safeco field,,,
772L,seattle,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,near safeco field,,,
773L,safeco field,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,near,,,
774L,seattle,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,near,,,
775L,safeco field,regal meridian 16,98101,,drama,wa,the next showing,tonight,the big short,restaurant,,,,,in your area,,,
776L,birmingham,carmike summit 16,,,,al,around 2pm,sunday,deadpool,,,,,,,,,
777L,birmingham,carmike summit 16,,,,al,2:05 PM,sunday,deadpool,,,,,,,,,
778L,,boyou vista la,,,,,night,weekend,deadpool,,,,,,,,,
779L,,boyou vista la,,,,,night,friday,deadpool,,,,,,,,,
780L,,boyou vista la,,,,,night,this weekend,deadpool,,,,,,,,,
781L,,boyou vista la,,,,,night,earlier day,deadpool,,,,,,,,,
782L,,boyou vista la,,,,,night,thursday,deadpool,,,,,,,,,
783L,miami,regal south beach,,,,,8pm,friday,brothers grimsby,,,,,,,,,
784L,miami,amc sunset place 24,,,,,8pm,friday,brothers grimsby,,,,,,,,,
785L,miami,regal south beach,,,,,7:40,friday,brothers grimsby,,,,,,,,,
786L,miami,amc sunset place 24,,,,,7:40,friday,brothers grimsby,,,,,,,,,
787L,miami,regal south beach,,,,,6:00,friday,brothers grimsby,,,,,,,,,
788L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,big short,,,,,,,,,
789L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,the big short,,,,,,,,,
790L,seattle,bellevue lincoln square cinemas,98004,4.5/5,animated,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
791L,st louis,bellevue lincoln square cinemas,98004,4.5/5,animated,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
792L,bellevue,bellevue lincoln square cinemas,98004,4.5/5,animated,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
793L,seattle,bellevue lincoln square cinemas,98004,4.5/5,kids,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
794L,st louis,bellevue lincoln square cinemas,98004,4.5/5,kids,wa,evening,tomorrow night,zootopia,pizza place,,2,,,,,,
795L,la,regency norwalk 8,,8%,horror,,7:40pm,saturday,the forest,laughable,,,,,,,,
796L,la,amc la 7,,8%,horror,,7:40pm,saturday,the forest,laughable,,,,,,,,
797L,la,amc la mirada,,8%,horror,,7:40pm,saturday,the forest,laughable,,,,,,,,
798L,la,amc la,,8%,horror,,7:40pm,saturday,the forest,laughable,,,,,,,,
799L,la,regency norwalk 8,,8%,horror,,7:40pm,saturday,the forest,rotten tomatoes,,,,,,,,
800L,st louis,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,7:20,,how to be single,subtitles,,,,,near here,,,
801L,sappington,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,7:20,,how to be single,subtitles,,,,,near here,,,
802L,st louis,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,7:20,,how to be single,english and chinese subtitles,,,,,near here,,,
803L,sappington,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,7:20,,how to be single,english and chinese subtitles,,,,,near here,,,
804L,st louis,wehrenberg ronnies 20 cine and imax,63126,nice,romantic,mo,10:05,,how to be single,subtitles,,,,,near here,,,
805L,seattle,all,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
806L,bellevue,all,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
807L,seattle,regal meridian 16,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
808L,bellevue,regal meridian 16,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
809L,seattle,bellevue lincoln square cinemas,98101,,,wa,around 6 pm,this evening,zootopia,,,,,2d,south side,,,
810L,seattle,regal meridian 16,,,,,9:30 PM,tomorrow,the witch,,,,,,,,,
811L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,3d,,,,
812L,chico,paradise cinema 7,,,drama,ca,early afternoon,tomorrow,london has fallen,,,,,,,,,
813L,chico,tinseltown,,,drama,ca,early afternoon,tomorrow,london has fallen,,,,,,,,,
814L,chico,cinemark 14,,,drama,ca,early afternoon,tomorrow,london has fallen,,,,,,,,,
815L,chico, paradisa cinema 7,,,drama,ca,early afternoon,tomorrow,london has fallen,,,,,,,,,
816L,chico,paradise cinema 7,,,drama,ca,early afternoon,11-Mar,london has fallen,,,,,,,,,
817L,,beaver creek stadium 12,,,,,1:50,,10 cloverfield lane,matinee,,,,,,,adult price is 8,
818L,,beaver creek stadium 12,,,,,1:50,,10 cloverfield lane,matinee,,,,,,,32,
819L,,beaver creek stadium 12,,,,,1:50,,10 cloverfield lane, matinee,,,,,,,adult price is 8,
820L,,beaver creek stadium 12,,,,,1:50,,10 cloverfield lane, matinee,,,,,,,32,
821L,,beaver creek stadium 12,,,,, 4:30,,10 cloverfield lane,matinee,,,,,,,adult price is 8,
822L,seattle,regal meridian 16,,good,,wa,around 8 pm,tomorrow,zootopia,good restaurant,,,,3d,near me,,,
823L,seattle,bellevue lincoln square cinemas,,good,,wa,around 8 pm,tomorrow,zootopia,good restaurant,,,,3d,near me,,,
824L,seattle,varsity theatre,,good,,wa,around 8 pm,tomorrow,zootopia,good restaurant,,,,3d,near me,,,
825L,seattle,regal meridian 16,,good,,wa,around 8 pm,tomorrow,zootopia,good restaurant,,,,regular,near me,,,
826L,seattle,bellevue lincoln square cinemas,,good,,wa,around 8 pm,tomorrow,zootopia,good restaurant,,,,regular,near me,,,
827L,whittier village stadium cinemas,,90601,top rated,action,,closest to noon,next saturday,london has fallen,,,,,,,,,
828L,whittier village stadium cinemas,,90601,top rated,action,,closest to noon,12-Mar,london has fallen,,,,,,,,,
829L,whittier village stadium cinemas,,90601,top rated,action,,1:30pm,next saturday,london has fallen,,,,,,,,,
830L,whittier village stadium cinemas,,90601,top rated,action,,1:30pm,12-Mar,london has fallen,,,,,,,,,
831L,seattle,regal meridian 16,,,,,9:00 PM,tomorrow,spotlight,name,,,,,,,,
832L,evanston,CENTURY 12 EVANSTON/CIN\xc3\x83\xe2\x80\xb0ARTS 6 AND XD,60201,top rated,,illinois,10:45am,tomorrow,deadpool,currently,,,,,your area,,,
833L,evanston,CENTURY 12 EVANSTON/CIN\xc3\x83\xe2\x80\xb0ARTS 6 AND XD,60201,top rated,,il,10:45am,tomorrow,deadpool,currently,,,,,your area,,,
834L,evanston,CENTURY 12 EVANSTON/CIN\xc3\x83\xe2\x80\xb0ARTS 6 AND XD,60201,top rated,,illinois,12:00pm,tomorrow,deadpool,currently,,,,,your area,,,
835L,evanston,CENTURY 12 EVANSTON/CIN\xc3\x83\xe2\x80\xb0ARTS 6 AND XD,60201,top rated,,il,12:00pm,tomorrow,deadpool,currently,,,,,your area,,,
836L,evanston,CENTURY 12 EVANSTON/CIN\xc3\x83\xe2\x80\xb0ARTS 6 AND XD,60201,top rated,,illinois,2:40pm,tomorrow,deadpool,currently,,,,,your area,,,
837L,wilmington,regal mayfaire stadium 16 imax,,good,date night:,nc,8pm,saturday,the perfect match,george on the riverwak,,,,,,,,
838L,wilmington,regal mayfaire stadium 16 imax,,good,date night:,nc,8pm,saturday,the perfect match,purchase,,,,,,,,
839L,wilmington,regal mayfaire stadium 16 imax,,good,date night:,nc,after dinner,saturday,the perfect match,george on the riverwak,,,,,,,,
840L,wilmington,regal mayfaire stadium 16 imax,,good,date night:,nc,after dinner,saturday,the perfect match,purchase,,,,,,,,
841L,wilmington,regal mayfaire stadium 16 imax,,good,date night:,nc,8,saturday,the perfect match,george on the riverwak,,,,,,,,
842L,seattle,regal lloyd center century 16,97232,,,oregon,midnight,tonight,star wars the force awakens,japanese restaurant,,,,,downtown,,,
843L,portland,regal lloyd center century 16,97232,,,oregon,midnight,tonight,star wars the force awakens,japanese restaurant,,,,,downtown,,,
844L,seattle,regal movies on tv stadium 16,97232,,,oregon,midnight,tonight,star wars the force awakens,japanese restaurant,,,,,downtown,,,
845L,portland,regal movies on tv stadium 16,97232,,,oregon,midnight,tonight,star wars the force awakens,japanese restaurant,,,,,downtown,,,
846L,seattle,regal lloyd,97232,,,oregon,midnight,tonight,star wars the force awakens,japanese restaurant,,,,,downtown,,,
847L,seattle,amc lowes oak tree 6,,,,,4:50 PM,tomorrow,race,,,,,,,,,
848L,seattle,amc pacific place 11 theater,,,,,10:00 PM,tomorrow,race,,,,amc pacific place 11,,,,,
849L,,,,,,,,this weekend,,29 movies,,,,,,,,
850L,seattle,regal meridian 16,,,,,9:30 PM,tomorrow,the witch,,,,,,,,,
851L,seattle,regal meridian 16,,,,,9:30 PM,tomorrow,the witch,,,,,,,,,
852L,birmingham,carmike summit 16,,,,al,2pm,tomorrow,deadpool,,,,,,,,,
853L,birmingham,carmike summit 16,,,,al,2:20,tomorrow,deadpool,,,,,,,,,
854L,seattle,amc pacific place 11,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
855L,bellevue,amc pacific place 11,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
856L,seattle,bellevue lincoln square cinemas,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
857L,bellevue,bellevue lincoln square cinemas,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
858L,seattle,big picture seattle,98101,,,wa,,21-Mar,deadpool,,,,,,,,,
859L,birmingham,carmike summit 16,,,,al,around 2pm,thursday,deadpool,,,,,,,,,
860L,birmingham,carmike summit,,,,al,around 2pm,thursday,deadpool,,,,,,,,,
861L,birmingham,carmike summit 16,,,,al,2:20,thursday,deadpool,,,,,,,,,
862L,birmingham,carmike summit,,,,al,2:20,thursday,deadpool,,,,,,,,,
863L,birmingham,carmike summit 16,,,,al,2:20pm,thursday,deadpool,,,,,,,,,
864L,,century rowland plaza,94952,,,,from 4pm to 7pm,next friday,eddie the eagle,,,,,,,,,
865L,,century rowland plaza,94952,,,,4:20pm,next friday,eddie the eagle,,,,,,,,,
866L,,century rowland plaza,94952,,,,6:55pm,next friday,eddie the eagle,,,,,,,,,
867L,,century rowland plaza,94952,,,,4:20,next friday,eddie the eagle,,,,,,,,,
868L,whittier,whittier village stadium cinemas,90602,,,ca,between noon and 4pm,next sunday,london has fallen,,,,,,,,,
869L,whittier,whittier village stadium cinemas,90602,,,ca,1:30pm,next sunday,london has fallen,,,,,,,,,
870L,whittier,whittier village stadium cinemas,90602,,,ca,between noon and 4pm,13-Mar,london has fallen,,,,,,,,,
871L,whittier,whittier village stadium cinemas,90602,,,ca,1:30pm,13-Mar,london has fallen,,,,,,,,,
872L,lansing,ncg eastwood cinemas,,,comedy,michigan,6pm,tomorrow,zootopia,,,,,,,,,
873L,lansing,regal cinemas,,,comedy,michigan,6pm,tomorrow,zootopia,,,,,,,,,
874L,lansing,cinema lansing,,,comedy,michigan,6pm,tomorrow,zootopia,,,,,,,,,
875L,lansing,ncg eastwood cinemas,,,comedies,michigan,6pm,tomorrow,zootopia,,,,,,,,,
876L,lansing,regal cinemas,,,comedies,michigan,6pm,tomorrow,zootopia,,,,,,,,,
877L,,big picture,,,,,,,,I can bring my cat to,,,,,near the space needle,,,
878L,,big picture,,,,,,,,I can order beer in,,,,,near the space needle,,,
879L,,cinerama,,,,,,,,I can bring my cat to,,,,,near the space needle,,,
880L,,cinerama,,,,,,,,I can order beer in,,,,,near the space needle,,,
881L,,central cinema,,,,,,,,I can bring my cat to,,,,,near the space needle,,,
882L,seattle,amc elmwood palace 20,70070,,funny,,5pm,tomorrow,zootopia,,,,,,,,,
883L,seattle,amc elmwood palace 20,70070,,funny,,5:00 PM,tomorrow,zootopia,,,,,,,,,
884L,seattle,amc elmwood palace 20,70070,,comedy,,5pm,tomorrow,zootopia,,,,,,,,,
885L,seattle,amc elmwood palace 20,70070,,comedy,,5:00 PM,tomorrow,zootopia,,,,,,,,,
886L,bayou vista,fairview cinema,,,,la,night,this weekend,deadpool,,,,,,,,,
887L,bayou vista,fairview cinema,,,,la,anytime,this weekend,deadpool,,,,,,,,,
888L,bayou vista,fairview cinema,,,,la,7pm,this weekend,deadpool,,,,,,,,,
889L,bayou vista,fairview cinema,,,,la,night,friday,deadpool,,,,,,,,,
890L,bayou vista,fairview cinema,,,,la,anytime,friday,deadpool,,,,,,,,,
891L,manchester stadium 16,shields ave,,,,california,once or twice every hour,friday march 11,zootopia,,,,,,,,,
892L,manchester stadium 16,maya fresno 16,,,,california,once or twice every hour,friday march 11,zootopia,,,,,,,,,
893L,manchester stadium 16,campus pointe dr,,,,california,once or twice every hour,friday march 11,zootopia,,,,,,,,,
894L,manchester stadium 16,shields ave,,,,ca,once or twice every hour,friday march 11,zootopia,,,,,,,,,
895L,manchester stadium 16,maya fresno 16,,,,ca,once or twice every hour,friday march 11,zootopia,,,,,,,,,
896L,seattle,pacific place 11,98101,best,romance,washington,9,tonight,how to be single,date,,,amc,,,,,
897L,seattle,pacific place 11,98101,top,romance,washington,9,tonight,how to be single,date,,,amc,,,,,
898L,seattle,pacific place 11,98101,best,romance,wa,9,tonight,how to be single,date,,,amc,,,,,
899L,seattle,pacific place 11,98101,top,romance,wa,9,tonight,how to be single,date,,,amc,,,,,
900L,seattle,pacific place 11,98101,best,romance,washington,9,tonight,how to be single,don't know,,,amc,,,,,
901L,portland,Regal Pioneer Place Stadium,,,,oregon,10 pm#some time close to that,thursday,10 cloverfield lane,,,,,,,,,
902L,portland,Regal Lloyd Center 10,,,,oregon,10 pm#some time close to that,thursday,10 cloverfield lane,,,,,,,,,
903L,portland,Bagdad Theatre,,,,oregon,10 pm#some time close to that,thursday,10 cloverfield lane,,,,,,,,,
904L,portland,regal pioneer place stadium,,,,oregon,10 pm#some time close to that,thursday,10 cloverfield lane,,,,,,,,,
905L,portland,Regal Pioneer Place Stadium,,,,oregon,9:50pm,thursday,10 cloverfield lane,,,,,,,,,
906L,houma,amc houma palace 10,,,foreign,louisiana,night,this week,Whiskey Tango Foxtrot,,,,,,,,,
907L,Houma,amc houma palace 10,,,foreign,louisiana,night,this week,Whiskey Tango Foxtrot,,,,,,,,,
908L,houma,amc houma palace 10,,,comedy,louisiana,night,this week,Whiskey Tango Foxtrot,,,,,,,,,
909L,Houma,amc houma palace 10,,,comedy,louisiana,night,this week,Whiskey Tango Foxtrot,,,,,,,,,
910L,houma,amc houma palace 10,,,adult comedy,louisiana,night,this week,Whiskey Tango Foxtrot,,,,,,,,,
911L,tulare,regal visalia stadium 10,,,,california,11:20am,this weekend,10 cloverfield lane,,,,,,,,,
912L,tulare,regal visalia stadium 10,,,,california,2:00pm,this weekend,10 cloverfield lane,,,,,,,,,
913L,tulare,regal visalia stadium 10,,,,california,4:40,this weekend,10 cloverfield lane,,,,,,,,,
914L,tulare,regal visalia stadium 10,,,,california,7:20,this weekend,10 cloverfield lane,,,,,,,,,
915L,tulare,regal visalia stadium 10,,,,california,10:05,this weekend,10 cloverfield lane,,,,,,,,,
916L,sparta,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,closed,,,,,,,,
917L,shiloh,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,closed,,,,,,,,
918L,belleville,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,closed,,,,,,,,
919L,o'fallon,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,closed,,,,,,,,
920L,fairview heights,wehrenberg o'fallon 15 cine,62269,,romantic comedies,illinois,afternoon,tomorrow,zoolander 2,closed,,,,,,,,
921L,,royal oak emagine theater,,,,,between 8-10 pm,,deadpool,,,,,,,,,
922L,seattle,regal meridian 16,,,,,9:25 PM,tomorrow,zoolander 2,,,,,,,,,
923L,seattle,Big Picture Sundance Cinemas,,,comedies,,6pm,today,deadpool,serve alcohol,,,,,,,,
924L,seattle,Central Cinema,,,comedies,,6pm,today,deadpool,serve alcohol,,,,,,,,
925L,seattle,big picture,,,comedies,,6pm,today,deadpool,serve alcohol,,,,,,,,
926L,seattle,Big Picture Sundance Cinemas,,,comedies,,8:30pm,today,deadpool,serve alcohol,,,,,,,,
927L,seattle,Central Cinema,,,comedies,,8:30pm,today,deadpool,serve alcohol,,,,,,,,
928L,seattle,amc lowes oak tree 6,,,,,4:50 PM,tomorrow,,,,,,,,,,
929L,las vegas,southpoint casino,,,,,12:05pm,10-Mar,the other side of the door,,,,,,,,,
930L,las vegas,southpoint casino,,,,,2:40pm,10-Mar,the other side of the door,,,,,,,,,
931L,las vegas,southpoint casino,,,,,5:20pm,10-Mar,the other side of the door,,,,,,,,,
932L,las vegas,southpoint casino,,,,,8:05pm,10-Mar,the other side of the door,,,,,,,,,
933L,las vegas,southpoint casino,,,,,10:35pm,10-Mar,the other side of the door,,,,,,,,,
934L,chicago,,,,scary,il,,,the other side of the door,,,,,,,,,
935L,chicago,,,,scary,il,,,the witch,,,,,,,,,
936L,seattle,regal meridian 16,,,,,around 6pm,tomorrow,zootopia,,,,,,north side,,,
937L,seattle,regal thornton place,,,,,around 6pm,tomorrow,zootopia,,,,,,north side,,,
938L,seattle,regal meridian 16,,,,,5:20,tomorrow,zootopia,,,,,,north side,,,
939L,seattle,regal thornton place,,,,,5:20,tomorrow,zootopia,,,,,,north side,,,
940L,seattle,regal meridian 16,,,,,6:30 PM,tomorrow,zootopia,,,,,,north side,,,
941L,du Quoin,,,,thriller science fiction,illinois,after 6pm,friday11th,star wars,I don't know,,,amc showplace carbondale,,general,,,
942L,carbondale,,,,thriller science fiction,illinois,after 6pm,friday11th,star wars,I don't know,,,amc showplace carbondale,,general,,,
943L,du Quoin,,,,thriller science fiction,illinois,after 6pm,friday11th,star wars,I don't know,,,amc showplace carbondale,,vicinity,,,
944L,carbondale,,,,thriller science fiction,illinois,after 6pm,friday11th,star wars,I don't know,,,amc showplace carbondale,,vicinity,,,
945L,du Quoin,,,,thriller science fiction,il,after 6pm,friday11th,star wars,I don't know,,,amc showplace carbondale,,general,,,
946L,seattle,cinemark lincoln square cinemas,,,,,7:15pm,Friday the 10th,gods egypt,,,,,,,,,
947L,seattle,cinemark lincoln square cinemas,,,,,7:15pm,Friday the 10th,gods of egypt,,,,,,,,,
948L,seattle,cinemark lincoln square cinemas,,,,,7:15,Friday the 10th,gods egypt,,,,,,,,,
949L,seattle,cinemark lincoln square cinemas,,,,,7:15,Friday the 10th,gods of egypt,,,,,,,,,
950L,seattle,regal meridian 16 theater,,,,,8:45 PM,tomorrow,hail caesar,name,,,,,,,,
951L,seattle,,,,,,night,tomorrow,zootopia,,,,,,,,,
952L,seattle,amc pacific place 11 theater,,,,,10:00 PM,tomorrow,race,,,,,,,,,
953L,,amc river east 21,,,,,night,this saturday,zootopia,,,,,2d,,,,
954L,,amc river east 21,,,,,night,tomorrow,zootopia,,,,,2d,,,,
955L,,amc river east 21,,,,,6pm,this saturday,zootopia,,,,,2d,,,,
956L,,amc river east 21,,,,,6pm,tomorrow,zootopia,,,,,2d,,,,
957L,,amc river east 21,,,,,9:01pm,this saturday,zootopia,,,,,2d,,,,
958L,seattle,amc pacific place 11 theater,,,,,10:00 PM,tomorrow,race,,,,amc pacific place 11,,,,,
959L,seattle,regal meridian 16,,,,,9:20 PM,tomorrow,london has fallen,indian restaurant,,,,,,,,
960L,seattle,regal meridian 16,,,,,9:20 PM,tomorrow,london has fallen,name,,,,,,,,
961L,seattle,,,,,,,,,restaurants,,,,,,,,
962L,seattle,,,,,,,,,book movie tickets,,,,,,,,
963L,miami,cinpolis coconut grove,33133,,sci-fi,fl,around noon,tomorrow,gods of egypt,,,,,IMAX,,,,
964L,miami,COBB DOLPHIN 19 AND IMAX,33133,,sci-fi,fl,around noon,tomorrow,gods of egypt,,,,,IMAX,,,,
965L,miami,cinepolis coconut grove,33133,,sci-fi,fl,around noon,tomorrow,gods of egypt,,,,,IMAX,,,,
966L,miami,cinepolis,33133,,sci-fi,fl,around noon,tomorrow,gods of egypt,,,,,IMAX,,,,
967L,miami,cinpolis coconut grove,33172,,sci-fi,fl,around noon,tomorrow,gods of egypt,,,,,IMAX,,,,
968L,seattle,amc southcenter 16,,number 1,action,,9:30 PM,this weekend,london has fallen,,,,regency,,,,,
969L,seattle,amc southcenter 16,,number 1,action,,9:30 PM,this weekend,london has fallen,,,,amc,,,,,
970L,seattle,amc southcenter 16,,number 1,action,,9:30 PM,any day this week,london has fallen,,,,regency,,,,,
971L,seattle,amc southcenter 16,,number 1,action,,9:30 PM,any day this week,london has fallen,,,,amc,,,,,
972L,seattle,amc southcenter 16,,number 1,action,,9:30 PM,wednesday,london has fallen,,,,regency,,,,,
973L,seattle,amc lowes oak tree 6,,,,,7:15 PM,tomorrow,hail caesar,,,,,,,,,
974L,seattle,amc lowes oak tree,,,,,7:10 PM,tomorrow,triple 9,,,,,,,,,
975L,carbondale,amc showplace carbondale 8,,,thriller,illinois,right now,tuesday,the witch,before dinner,,,,,in your area,,,
976L,carbondale,amc showplace carbondale 8,,,thriller,illinois,right now,Tuesday,the witch,before dinner,,,,,in your area,,,
977L,carbondale,amc showplace carbondale 8,,,thriller,illinois,night,tuesday,the witch,before dinner,,,,,in your area,,,
978L,carbondale,amc showplace carbondale 8,,,thriller,illinois,night,Tuesday,the witch,before dinner,,,,,in your area,,,
979L,carbondale,amc showplace carbondale 8,,,thriller,illinois,anytime after 7pm,tuesday,the witch,before dinner,,,,,in your area,,,
980L,seattle,regal meridian 16,98101,,,wa,6:30pm,tonight,zootopia,,,two,regal meridian,,,,,
981L,bellevue,regal meridian 16,98101,,,wa,6:30pm,tonight,zootopia,,,two,regal meridian,,,,,
982L,seattle,bellevue lincoln square cinemas,98101,,,wa,6:30pm,tonight,zootopia,,,two,regal meridian,,,,,
983L,bellevue,bellevue lincoln square cinemas,98101,,,wa,6:30pm,tonight,zootopia,,,two,regal meridian,,,,,
984L,seattle,regal meridian,98101,,,wa,6:30pm,tonight,zootopia,,,two,regal meridian,,,,,
985L,las vegas,cCENTURY 16 SOUTH POINT AND XD,,,,nv,11:10am,tomrrow,zootopia,,,,,,,,,
986L,las vegas,Las Vegas NV 89183,,,,nv,11:10am,tomrrow,zootopia,,,,,,,,,
987L,las vegas,Century 16 South Point,,,,nv,11:10am,tomrrow,zootopia,,,,,,,,,
988L,las vegas,cCENTURY 16 SOUTH POINT AND XD,,,,nv,1:55pm,tomrrow,zootopia,,,,,,,,,
989L,las vegas,Las Vegas NV 89183,,,,nv,1:55pm,tomrrow,zootopia,,,,,,,,,
990L,seattle,amc pacific place 11 theater,,,,,9:00 PM,tomorrow,deadpool,,,,,,,,,
